Timestamp, 2021-09-24 17-42-14

Frequency (Hz), CH 1: PSD for Power 0.9dBm (dBm), CH 1: PSD for Power 0.8078dBm (dBm), CH 1: PSD for Power 0.8072dBm (dBm), CH 1: PSD for Power 0.8058dBm (dBm), CH 1: PSD for Power 0.8048dBm (dBm), CH 1: PSD for Power 0.8042dBm (dBm), CH 1: PSD for Power 0.8037dBm (dBm), CH 1: PSD for Power 0.8022dBm (dBm), CH 1: PSD for Power 0.8012dBm (dBm), CH 1: PSD for Power 0.8dBm (dBm), CH 1: PSD for Power 0.7987dBm (dBm), CH 1: PSD for Power 0.7974dBm (dBm), CH 1: PSD for Power 0.7953dBm (dBm), CH 1: PSD for Power 0.7939dBm (dBm), CH 1: PSD for Power 0.7924dBm (dBm), CH 1: PSD for Power 0.7908dBm (dBm), CH 1: PSD for Power 0.7893dBm (dBm), CH 1: PSD for Power 0.8095dBm (dBm), CH 1: PSD for Power 0.8096dBm (dBm), CH 1: PSD for Power 0.8098dBm (dBm), CH 1: PSD for Power 0.81dBm (dBm)
550000.0, -90.16206359863281, -89.82137298583984, -90.18029022216797, -89.64746856689453, -89.1679916381836, -89.18632507324219, -89.19049072265625, -88.35247039794922, -88.32698059082031, -87.94294738769531, -87.53404235839844, -86.84480285644531, -85.99331665039062, -85.28275299072266, -84.63917541503906, -83.89195251464844, -82.7537841796875, -89.96329498291016, -90.51912689208984, -90.51261901855469, -90.49983978271484
600000.0, -90.6173324584961, -90.43732452392578, -90.529052734375, -90.10070037841797, -89.4892349243164, -89.58009338378906, -89.56953430175781, -88.8788070678711, -88.72209930419922, -88.18109130859375, -87.65386199951172, -87.225341796875, -86.26634216308594, -85.50833892822266, -84.94625854492188, -84.09440612792969, -82.89295959472656, -90.43408966064453, -90.8317642211914, -91.12025451660156, -90.99252319335938
650000.0, -90.9439697265625, -90.58647155761719, -90.94783020019531, -90.41441345214844, -89.87983703613281, -89.79582214355469, -89.69656372070312, -88.83116912841797, -88.80299377441406, -88.08761596679688, -87.90473937988281, -87.24043273925781, -86.43596649169922, -85.67778015136719, -84.75958251953125, -84.34394073486328, -83.128662109375, -90.82489776611328, -91.4542465209961, -91.49549102783203, -91.50030517578125
700000.0, -91.3271484375, -90.87272644042969, -91.01934814453125, -90.51154327392578, -90.16081237792969, -89.8714599609375, -89.94676208496094, -89.25587463378906, -88.84344482421875, -88.32515716552734, -87.95108032226562, -87.31071472167969, -86.45758056640625, -85.65806579589844, -84.90061950683594, -83.94721984863281, -83.014404296875, -91.1988296508789, -91.79735565185547, -91.50992584228516, -91.84367370605469
750000.0, -91.03441619873047, -90.8887710571289, -90.58523559570312, -90.27215576171875, -89.83442687988281, -89.52452087402344, -89.78956604003906, -88.88905334472656, -88.8778076171875, -88.35830688476562, -87.72479248046875, -87.14311981201172, -86.2833023071289, -85.43959045410156, -84.65448760986328, -84.1091079711914, -83.29124450683594, -91.0908432006836, -91.73682403564453, -91.30699157714844, -91.40756225585938
800000.0, -89.93861389160156, -89.49307250976562, -89.53028106689453, -89.2647476196289, -88.93570709228516, -88.75777435302734, -88.81779479980469, -88.20125579833984, -88.12960052490234, -87.22312927246094, -86.76187896728516, -86.63387298583984, -85.88710021972656, -85.32682800292969, -84.43319702148438, -83.73578643798828, -82.88423919677734, -89.83516693115234, -90.1444091796875, -90.24175262451172, -90.33238220214844
850000.0, -89.75520324707031, -89.0538330078125, -89.48577880859375, -89.2088623046875, -88.74432373046875, -88.5831527709961, -88.84508514404297, -88.03588104248047, -87.80908203125, -87.46285247802734, -86.81986999511719, -86.42655944824219, -85.75898742675781, -85.13775634765625, -84.2154769897461, -83.82649993896484, -83.11087036132812, -89.63494110107422, -89.73392486572266, -89.60334777832031, -89.9736557006836
900000.0, -91.34004211425781, -90.58039855957031, -90.59851837158203, -90.1278305053711, -89.60963439941406, -89.65473937988281, -89.49395751953125, -88.7593994140625, -88.54329681396484, -88.06934356689453, -87.54544830322266, -87.02561950683594, -86.12290954589844, -85.1395492553711, -84.7079086303711, -83.83651733398438, -83.0962142944336, -91.37178039550781, -91.25733947753906, -91.19737243652344, -91.26020812988281
950000.0, -91.8648452758789, -91.2061996459961, -91.22233581542969, -90.85595703125, -90.40753173828125, -90.07279205322266, -89.97389221191406, -89.01136779785156, -88.87425994873047, -88.23260498046875, -87.58656311035156, -87.15348815917969, -86.4132080078125, -85.33900451660156, -84.63233947753906, -84.02178955078125, -83.34634399414062, -91.99500274658203, -91.89434814453125, -91.96006774902344, -91.96375274658203
1000000.0, -92.41969299316406, -91.27165985107422, -91.28145599365234, -90.74610900878906, -90.33504486083984, -90.2244873046875, -90.17546081542969, -88.938232421875, -88.84912109375, -88.3624038696289, -87.62690734863281, -87.09724426269531, -86.30599975585938, -85.39534759521484, -84.67051696777344, -84.24037170410156, -83.15509796142578, -92.05632019042969, -91.73471069335938, -92.0202407836914, -92.1851577758789
