Timestamp, 2021-09-24 12-09-31

Frequency (Hz), CH 1: PSD for Power 0.9dBm (dBm), CH 1: PSD for Power 0.8074dBm (dBm), CH 1: PSD for Power 0.8042dBm (dBm), CH 1: PSD for Power 0.8035dBm (dBm), CH 1: PSD for Power 0.8026dBm (dBm), CH 1: PSD for Power 0.8017dBm (dBm), CH 1: PSD for Power 0.8008dBm (dBm), CH 1: PSD for Power 0.7997dBm (dBm), CH 1: PSD for Power 0.7986dBm (dBm), CH 1: PSD for Power 0.7974dBm (dBm), CH 1: PSD for Power 0.7961dBm (dBm), CH 1: PSD for Power 0.7944dBm (dBm), CH 1: PSD for Power 0.8078dBm (dBm), CH 1: PSD for Power 0.7931dBm (dBm), CH 1: PSD for Power 0.7923dBm (dBm), CH 1: PSD for Power 0.7885dBm (dBm), CH 1: PSD for Power 0.786dBm (dBm), CH 1: PSD for Power 0.7839dBm (dBm), CH 1: PSD for Power 0.7796dBm (dBm), CH 1: PSD for Power 0.7746dBm (dBm), CH 1: PSD for Power 0.76dBm (dBm)
500000.0, -90.10740661621094, -90.76301574707031, -90.55122375488281, -90.41387939453125, -90.23832702636719, -89.93180084228516, -89.72801208496094, -89.92072296142578, -89.53880310058594, -89.3961181640625, -89.38823699951172, -89.26101684570312, -90.74610900878906, -89.20317077636719, -89.01838684082031, -88.77999114990234, -88.01348114013672, -87.36848449707031, -87.15779113769531, -86.8909912109375, -86.40581512451172
550000.0, -90.09716796875, -91.31190490722656, -91.23865509033203, -90.71574401855469, -90.65398406982422, -90.09449005126953, -90.00309753417969, -90.25660705566406, -89.76368713378906, -89.91172790527344, -89.85885620117188, -89.79764556884766, -91.31961822509766, -89.33065032958984, -89.31782531738281, -88.99396514892578, -88.02952575683594, -87.48651123046875, -87.47150421142578, -87.08560943603516, -86.76000213623047
600000.0, -90.6400146484375, -91.89175415039062, -91.6138916015625, -91.56376647949219, -91.09101867675781, -91.06438446044922, -90.59492492675781, -90.96186828613281, -90.4380111694336, -90.34030151367188, -89.88924407958984, -90.45465850830078, -92.0489730834961, -89.75358581542969, -89.85722351074219, -89.26608276367188, -88.55341339111328, -88.30278015136719, -87.60480499267578, -87.30443572998047, -86.67744445800781
650000.0, -91.24061584472656, -92.35173034667969, -92.05554962158203, -91.98857116699219, -91.52116394042969, -91.28178405761719, -90.99375915527344, -91.01692962646484, -90.67772674560547, -90.73809814453125, -90.32247924804688, -90.69100189208984, -92.44004821777344, -89.8034439086914, -90.18083190917969, -89.5474624633789, -88.8374252319336, -88.3125228881836, -87.9405746459961, -87.48301696777344, -87.1195297241211
700000.0, -91.20326232910156, -92.52825927734375, -92.32513427734375, -92.20528411865234, -91.71878814697266, -91.25413513183594, -90.7907943725586, -91.13041687011719, -90.85640716552734, -90.8209457397461, -90.58241271972656, -90.75123596191406, -92.60977935791016, -89.87770080566406, -90.22447967529297, -89.50843811035156, -88.81478118896484, -88.13505554199219, -87.97528076171875, -87.45979309082031, -86.873046875
750000.0, -90.91816711425781, -92.16666412353516, -91.83729553222656, -91.93927001953125, -91.71182250976562, -91.09385681152344, -90.68437194824219, -91.02378845214844, -90.92662048339844, -90.65570068359375, -90.35115051269531, -90.26444244384766, -92.30317687988281, -89.6837387084961, -89.87666320800781, -89.19636535644531, -88.66851043701172, -88.16326141357422, -87.82759094238281, -87.36611938476562, -86.62557220458984
800000.0, -89.80897521972656, -90.59828186035156, -90.47703552246094, -90.5538101196289, -90.14657592773438, -89.74127960205078, -89.6059341430664, -90.09626007080078, -89.6922836303711, -89.4496841430664, -89.3263931274414, -89.38997650146484, -90.69361877441406, -89.0306396484375, -88.97508239746094, -88.46343994140625, -87.83934020996094, -87.50147247314453, -87.05061340332031, -86.72772979736328, -86.23515319824219
850000.0, -89.47611236572266, -90.18389892578125, -90.02916717529297, -90.14228820800781, -89.75660705566406, -89.59938049316406, -89.68900299072266, -89.54606628417969, -89.5195541381836, -89.21495056152344, -89.10625457763672, -89.09040069580078, -90.34908294677734, -88.4878158569336, -88.66486358642578, -88.18647766113281, -87.5150146484375, -87.18437194824219, -86.76344299316406, -86.41908264160156, -86.121337890625
900000.0, -90.7988052368164, -91.95100402832031, -91.89903259277344, -91.68095397949219, -91.18375396728516, -90.96939849853516, -90.9451675415039, -90.97298431396484, -90.4673080444336, -90.5667495727539, -90.29791259765625, -90.333740234375, -92.1403579711914, -89.43241882324219, -89.71278381347656, -89.12897491455078, -88.4305191040039, -87.89615631103516, -87.48706817626953, -87.1795425415039, -86.59979248046875
950000.0, -91.73351287841797, -92.9491195678711, -92.39265441894531, -92.37385559082031, -92.08857727050781, -91.87291717529297, -91.49246978759766, -91.70454406738281, -91.34329223632812, -91.23896789550781, -90.8311538696289, -90.79017639160156, -93.07182312011719, -89.85737609863281, -90.10948944091797, -89.475341796875, -89.0958480834961, -88.23697662353516, -87.76420593261719, -87.25994110107422, -86.74485778808594
1000000.0, -91.77442932128906, -92.82594299316406, -92.48597717285156, -92.34683990478516, -92.01371765136719, -91.73854064941406, -91.89298248291016, -91.8429946899414, -91.24320983886719, -91.26216125488281, -90.92459869384766, -90.74623107910156, -92.91505432128906, -89.98406982421875, -90.29838562011719, -89.30290222167969, -88.8941879272461, -88.3501205444336, -87.74169158935547, -87.38612365722656, -86.80142974853516
1050000.0, -91.83381652832031, -92.90020751953125, -92.60802459716797, -92.5179672241211, -92.15762329101562, -91.88172149658203, -91.7268295288086, -91.63346862792969, -91.32380676269531, -91.36962890625, -91.1275863647461, -90.61884307861328, -92.95651245117188, -89.96859741210938, -90.15968322753906, -89.2625732421875, -88.85963439941406, -88.18753051757812, -87.77027130126953, -87.2383041381836, -86.77836608886719
1100000.0, -91.90693664550781, -93.02091979980469, -92.63645935058594, -92.48481750488281, -92.1301040649414, -91.66770935058594, -91.50672149658203, -91.83740997314453, -91.33039093017578, -91.18760681152344, -91.25902557373047, -90.70472717285156, -93.16382598876953, -90.04617309570312, -90.08174896240234, -89.32353210449219, -88.84309387207031, -88.1919174194336, -87.73664855957031, -87.21331787109375, -86.9115219116211
1150000.0, -91.99577331542969, -93.15272521972656, -92.8401107788086, -92.84439086914062, -92.37527465820312, -91.81745147705078, -91.70556640625, -91.76692199707031, -91.49251556396484, -91.3001708984375, -90.75006103515625, -90.98812103271484, -93.36181640625, -90.0168685913086, -90.19328308105469, -89.40512084960938, -88.80180358886719, -88.34672546386719, -87.67024230957031, -87.28697204589844, -86.6689682006836
1200000.0, -92.27574157714844, -93.27059173583984, -92.8612289428711, -92.63356018066406, -92.4359359741211, -92.08094787597656, -91.92414093017578, -91.96644592285156, -91.52082061767578, -91.2480239868164, -91.11454010009766, -90.8468246459961, -93.27841186523438, -90.12374877929688, -90.13887786865234, -89.39897918701172, -88.93770599365234, -88.46568298339844, -87.92589569091797, -87.30199432373047, -86.64177703857422
1250000.0, -92.34740447998047, -93.3512954711914, -93.04338073730469, -92.91191101074219, -92.27177429199219, -92.25496673583984, -91.84940338134766, -92.04136657714844, -91.66239166259766, -91.44540405273438, -91.306396484375, -90.74597930908203, -93.42057800292969, -90.12785339355469, -90.26028442382812, -89.24775695800781, -88.81025695800781, -88.3652572631836, -87.8686752319336, -87.30207061767578, -86.84648895263672
1300000.0, -92.52766418457031, -93.29559326171875, -92.97392272949219, -92.67436981201172, -92.44017028808594, -92.14786529541016, -92.03726196289062, -92.1080322265625, -91.7789077758789, -91.4429931640625, -91.10134887695312, -90.88459777832031, -93.49510192871094, -90.3459243774414, -90.16435241699219, -89.36690521240234, -88.91647338867188, -88.13954162597656, -87.58917236328125, -87.2856674194336, -86.58755493164062
1350000.0, -92.6196517944336, -93.36185455322266, -93.04399871826172, -92.84465026855469, -92.50025177001953, -92.21663665771484, -91.85140991210938, -92.07501983642578, -91.77314758300781, -91.3549575805664, -91.21993255615234, -90.80846405029297, -93.4357681274414, -90.07307434082031, -90.34769439697266, -89.331787109375, -88.72993469238281, -88.13795471191406, -87.81765747070312, -87.12508392333984, -86.76774597167969
1400000.0, -92.26783752441406, -93.19596099853516, -92.85714721679688, -92.47914123535156, -92.2654800415039, -92.02488708496094, -91.74748992919922, -91.84751892089844, -91.68421936035156, -91.40303039550781, -91.22069549560547, -90.78771209716797, -93.2295150756836, -89.96360778808594, -90.28870391845703, -89.35523986816406, -88.5889892578125, -88.28314208984375, -87.75105285644531, -87.18839263916016, -86.63455200195312
1450000.0, -92.4838638305664, -93.32595825195312, -92.75758361816406, -92.7278060913086, -92.42217254638672, -91.96619415283203, -91.87322998046875, -92.01692962646484, -91.53955841064453, -91.16387939453125, -91.12139892578125, -90.7524185180664, -93.3808364868164, -90.10086822509766, -90.1430892944336, -89.29034423828125, -88.69938659667969, -88.15726470947266, -87.67891693115234, -87.1795654296875, -86.73225402832031
1500000.0, -92.67818450927734, -93.25235748291016, -92.94447326660156, -93.07315063476562, -92.56015014648438, -92.39002990722656, -92.13420867919922, -92.00296783447266, -91.81369018554688, -91.49702453613281, -91.23233795166016, -90.88795471191406, -93.50969696044922, -90.28330993652344, -90.23258972167969, -89.2846908569336, -88.7612533569336, -88.30451965332031, -87.77784729003906, -87.12654876708984, -86.61102294921875
1550000.0, -92.69908142089844, -93.58638763427734, -92.99742889404297, -93.30762481689453, -92.63758850097656, -92.3225326538086, -92.26548767089844, -92.2365951538086, -91.70919036865234, -91.60425567626953, -91.4086685180664, -91.16270446777344, -93.65216064453125, -90.25373077392578, -90.17730712890625, -89.41728210449219, -88.78604125976562, -88.41552734375, -87.70293426513672, -87.26318359375, -86.70767211914062
1600000.0, -93.05810546875, -93.81317138671875, -93.33755493164062, -92.92012023925781, -92.59330749511719, -92.3699722290039, -92.46714782714844, -92.50428771972656, -91.86106872558594, -91.7540512084961, -91.54305267333984, -91.11930084228516, -93.8877182006836, -90.30984497070312, -90.52462768554688, -89.38047790527344, -88.81672668457031, -88.23600769042969, -87.55953979492188, -87.20997619628906, -86.67252349853516
