Frequency,Plus,Minus
35850000,-94.19764338,-93.93846111
36000000,-94.03063922,-93.57764896
36150000,-93.52898593,-93.70451996
36300000,-93.86054146,-93.39444297
36450000,-93.58480009,-94.09377384
36600000,-94.1791722,-93.59514783
36750000,-94.06874248,-93.66380413
36900000,-93.62342599,-93.88387023
37050000,-94.55283356,-94.04551246
37200000,-93.81410438,-93.9085872
37350000,-94.06038956,-94.10951156
37500000,-93.65552978,-93.73919705
37650000,-94.07836499,-94.63510702
37800000,-93.79386075,-94.26285959
37950000,-94.09379463,-93.82735333
38100000,-93.79194695,-94.16604901
38250000,-93.59671352,-93.86296838
38400000,-93.76018351,-94.26443874
38550000,-93.27996863,-94.31015369
38700000,-93.56617287,-94.08553578
38850000,-92.91810046,-94.16136911
39000000,-70.70337338,-94.32032217
39150000,-48.11669462,-93.38759449
39300000,-36.60286469,-89.84169626
39450000,-31.85458213,-85.60310261
39600000,-32.951934,-86.41304616
39750000,-40.15461448,-92.00940554
39900000,-55.0903001,-94.50071276
40050000,-85.30730404,-94.38675327
40200000,-93.36126851,-94.2160339
40350000,-93.36842704,-94.6189123
40500000,-93.57714806,-94.57765687
40650000,-93.43019536,-93.97714599
40800000,-93.02196232,-94.25801174
40950000,-94.07682358,-93.91290208
41100000,-94.10172227,-94.21250199
41250000,-94.50299814,-94.22060715
41400000,-94.56398453,-94.42714569
41550000,-94.15764712,-94.04324238
41700000,-94.78173547,-94.45158839
41850000,-94.28615841,-94.43511241
42000000,-94.79167825,-94.31982468
42150000,-94.45793038,-94.26130574
42300000,-94.66548075,-94.52534658
42450000,-94.54297968,-94.60480288
42600000,-94.47626424,-94.75559569
42750000,-94.39022307,-94.74052701
42900000,-94.5960512,-94.5471288
43050000,-94.33595616,-94.75989747
43200000,-94.97563494,-94.83893637
43350000,-94.46442785,-94.7989921
43500000,-94.70716054,-94.17328338
43650000,-94.51339811,-94.43256709
43800000,-94.70853587,-94.90657665
43950000,-94.5645378,-94.4323399
44100000,-94.85531836,-94.68577983
44250000,-94.00110127,-94.49210426
44400000,-94.71404475,-94.92398536
44550000,-94.5390482,-94.28694165
44700000,-94.72248024,-94.89474591
44850000,-95.11252793,-94.78881889
45000000,-94.54435808,-94.92403834
45150000,-94.980605,-94.92881144
45300000,-95.25199361,-94.84036704
45450000,-94.92052317,-94.96599924
45600000,-95.1607135,-94.74817862
45750000,-94.96156373,-94.95453785
45900000,-95.17968073,-95.00283364
46050000,-95.0349423,-95.03033563
46200000,-94.41440592,-94.8337718
46350000,-94.82382555,-94.84937017
46500000,-95.47200056,-94.72569262
46650000,-95.61682751,-94.7630234
46800000,-94.87379155,-95.0032289
46950000,-95.21734946,-95.26781072
47100000,-95.04372461,-94.94574766
47250000,-95.03097222,-95.03488555
47400000,-95.46171802,-94.93351108
47550000,-95.62301368,-95.14751052
47700000,-94.76589149,-95.41595486
47850000,-95.68860619,-95.14726271
48000000,-95.31759048,-95.1789102
48150000,-95.03396706,-95.18897928
48300000,-95.34727221,-95.61838308
48450000,-95.04192828,-94.99730608
48600000,-95.04587836,-94.86339764
48750000,-95.39684444,-95.14384474
48900000,-94.70661024,-95.16355606
49050000,-94.86858017,-95.01662255
49200000,-94.37646089,-95.1420851
49350000,-95.14834353,-94.66761625
49500000,-95.5645669,-95.37661204
49650000,-95.65326556,-95.1305513
49800000,-95.63392096,-95.55207286
49950000,-95.4862104,-95.57155899
50100000,-95.19732877,-95.55493449
50250000,-94.81947259,-95.36294899
50400000,-95.17042689,-95.45247859
50550000,-95.09082529,-95.04775526
50700000,-95.81907956,-95.49227106
50850000,-95.02968491,-95.49216563
51000000,-95.23532023,-95.23524892
51150000,-95.4501774,-95.2526106
51300000,-95.34510548,-95.32512908
51450000,-95.24126877,-95.27192021
51600000,-95.97296434,-95.20340082
51750000,-95.74562583,-95.26130126
51900000,-95.39932311,-95.24875093
52050000,-95.36417312,-95.55220727
52200000,-95.31969858,-95.27842852
52350000,-96.05875706,-95.84068508
52500000,-95.42576834,-95.67944426
52650000,-95.74680478,-95.62468895
52800000,-95.64075822,-95.98752934
52950000,-95.70708656,-95.6441774
53100000,-95.45737511,-95.53649822
53250000,-96.09828126,-95.63352221
53400000,-96.20540434,-95.75752963
53550000,-95.74928203,-95.75937462
53700000,-95.83576975,-96.08731777
53850000,-95.99622712,-95.67697609
54000000,-95.56367377,-95.9537172
54150000,-95.61233287,-95.40025995
54300000,-96.01498728,-95.82053349
54450000,-95.09120997,-95.53404937
54600000,-95.79914105,-95.73553805
54750000,-96.1543135,-96.10685126
54900000,-95.47693963,-95.05426217
55050000,-95.93013012,-95.6958034
55200000,-95.78315761,-95.47872443
55350000,-95.89446888,-95.96903978
55500000,-96.35458858,-95.8738775
55650000,-96.11316784,-95.61857669
55800000,-96.21413679,-96.14014413
55950000,-95.97632868,-96.15666669
56100000,-95.78981609,-95.87287026
56250000,-95.75375111,-95.83436593
56400000,-96.15452776,-96.10909998
56550000,-96.2353638,-96.20114265
56700000,-96.05627297,-96.47356707
56850000,-96.32775787,-95.98441774
57000000,-96.78064751,-95.9037671
57150000,-96.06140256,-95.78640793
57300000,-96.46361381,-96.09486922
57450000,-95.99684386,-96.01246706
57600000,-96.39116455,-96.15998695
57750000,-96.25437402,-96.31791425
57900000,-95.79407011,-96.14807622
58050000,-96.42625263,-95.69413609
58200000,-96.20248875,-96.21811994
58350000,-96.22536939,-95.76911803
58500000,-96.32697997,-96.0888443
58650000,-96.16794205,-95.79629607
58800000,-96.24033762,-96.23497718
58950000,-96.07226154,-96.7440494
59100000,-96.22659479,-96.4309849
59250000,-96.20313324,-96.29882885
59400000,-96.31196798,-96.10943444
59550000,-96.59595946,-96.60633016
59700000,-96.48684475,-96.11115539
59850000,-96.18433479,-96.32493541
60000000,-96.19422008,-96.3237855
END,,
